3.16.2012;Exp.Date;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Date;Maturity;UndPr;Rate;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6.20.2011;270;1262,9;0,0007;CALL;1010;1020;1025;1030;1040;1050;1060;1070;1075;1080;1090;1100;1110;1120;1125;1130;1140;1150;1160;1170;1175;1180;1190;1200;1210;1220;1225;1230;1240;1250;1260;1270;1275;1280;1290;1300;1310;1320;1325;1330;1340;1350;1360;1370;1375;1380;1390;1400;1410;1420;1425;1430;1440;1450;1460;1470;1475;1480;1490;1500;1510;1520;1525;1530;1540;1550;1560;1570;1575;1580;1590;1600;1625;1650;1675;1700;1725;PUT;800;810;820;825;830;840;850;860;870;875;880;890;900;910;920;925;930;940;950;960;970;975;980;990;1000;1010;1020;1025;1030;1040;1050;1060;1070;1075;1080;1090;1100;1110;1120;1125;1130;1140;1150;1160;1170;1175;1180;1190;1200;1210;1220;1225;1230;1240;1250;1260;1270;1275;1280;1290;1300;1310;1320;1325;1330;1340;1350;1360;1370;1375;1380;1390;1400;1410;1420;1425;1430;1440;1450;1460;1470;1475;1480;1490;1500;1510;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;276,5;268;263,7;259,5;251,1;242,6;234,4;226;222;217,9;209,8;201,8;194;186,1;182,3;178,5;171;163,6;156,3;148,9;145,3;141,8;134,8;127,9;121,2;114,6;111,4;108,2;101,9;95,7;89,8;83,9;81,1;78,3;72,8;67,5;62,5;57,7;55,4;53,2;48,8;44,6;40,7;36,9;35,2;33,4;30,1;27,1;24,2;21,5;20,3;19,1;16,9;14,9;13;11,3;10,5;9,7;8,3;7,1;6,2;5,4;5;4,65;4;3,45;3;2,6;2,4;2,25;1,9;1,65;1,1;0,85;0,7;0,55;0,45;;7,5;8;8,5;8,8;9;9,6;10,2;10,8;11,5;11,8;12,1;12,9;13,6;14,4;15,3;15,7;16,1;17,1;18,1;19,1;20,2;20,8;21,3;22,5;23,8;25,1;26,5;27,2;28;29,5;31;32,7;34,3;35,2;36,1;38;39,9;42;44,1;45,3;46,4;48,9;51,4;54;56,6;58;59,4;62,4;65,4;68,6;72;73,7;75,5;79,1;82,9;86,9;91;93,1;95,3;99,7;104,4;109,3;114,4;117,1;119,9;125,4;131,2;137,2;143,3;146,6;149,8;156,4;163,4;170,4;177,7;181,4;185,2;193;200,9;209;217,2;221,4;225,6;234,2;243;252;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6.21.2011;269;1277;0,0007;CALL;1025;1030;1040;1050;1060;1070;1075;1080;1090;1100;1110;1120;1125;1130;1140;1150;1160;1170;1175;1180;1190;1200;1210;1220;1225;1230;1240;1250;1260;1270;1275;1280;1290;1300;1310;1320;1325;1330;1340;1350;1360;1370;1375;1380;1390;1400;1410;1420;1425;1430;1440;1450;1460;1470;1475;1480;1490;1500;1510;1520;1525;1530;1540;1550;1560;1570;1575;1580;1590;1600;1625;1650;1675;1700;1725;1750;PUT;810;820;825;830;840;850;860;870;875;880;890;900;910;920;925;930;940;950;960;970;975;980;990;1000;1010;1020;1025;1030;1040;1050;1060;1070;1075;1080;1090;1100;1110;1120;1125;1130;1140;1150;1160;1170;1175;1180;1190;1200;1210;1220;1225;1230;1240;1250;1260;1270;1275;1280;1290;1300;1310;1320;1325;1330;1340;1350;1360;1370;1375;1380;1390;1400;1410;1420;1425;1430;1440;1450;1460;1470;1475;1480;1490;1500;1510;1520;1525;1530;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;275,2;271;262,4;253,9;245,5;237,1;233;228,8;220,6;212,5;204,5;196,5;192,6;188,7;181;173,3;165,8;158,3;154,7;151;143,9;136,8;130;123,2;119,9;116,6;110,1;103,7;97,6;91,5;88,5;85,5;79,8;74,2;68,9;63,7;61,3;58,9;54,2;49,7;45,4;41,4;39,4;37,5;34;30,6;27,5;24,6;23,2;21,9;19,4;17,1;15;13,2;12,3;11,5;10;8,6;7,4;6,4;5,9;5,5;4,65;3,95;3,4;2,9;2,65;2,45;2,1;1,85;1,25;0,85;0,7;0,55;0,45;0,35;;7,2;7,7;7,9;8,2;8,7;9,2;9,7;10,3;10,6;10,9;11,5;12,1;12,8;13,6;14;14,4;15,3;16,3;17,3;18,3;18,8;19,4;20,4;21,6;22,8;24,1;24,7;25,4;26,8;28,2;29,8;31,3;32,2;33;34,7;36,6;38,5;40,5;41,5;42,6;44,8;47,1;49,5;52;53,3;54,6;57,4;60,3;63,4;66,6;68,2;69,9;73,3;76,9;80,7;84,5;86,5;88,5;92,7;97,1;101,7;106,4;109;111,6;116,8;122,2;127,9;133,8;136,8;139,9;146,3;152,8;159,7;166,7;170,3;174;181,4;189,1;196,9;205,1;209,2;213,4;221,8;230,4;239,2;248,2;252,6;257,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6.22.2011;268;1268,9;0,0007;CALL;1020;1025;1030;1040;1050;1060;1070;1075;1080;1090;1100;1110;1120;1125;1130;1140;1150;1160;1170;1175;1180;1190;1200;1210;1220;1225;1230;1240;1250;1260;1270;1275;1280;1290;1300;1310;1320;1325;1330;1340;1350;1360;1370;1375;1380;1390;1400;1410;1420;1425;1430;1440;1450;1460;1470;1475;1480;1490;1500;1510;1520;1525;1530;1540;1550;1560;1570;1575;1580;1590;1600;1625;1650;1675;1700;1725;PUT;800;810;820;825;830;840;850;860;870;875;880;890;900;910;920;925;930;940;950;960;970;975;980;990;1000;1010;1020;1025;1030;1040;1050;1060;1070;1075;1080;1090;1100;1110;1120;1125;1130;1140;1150;1160;1170;1175;1180;1190;1200;1210;1220;1225;1230;1240;1250;1260;1270;1275;1280;1290;1300;1310;1320;1325;1330;1340;1350;1360;1370;1375;1380;1390;1400;1410;1420;1425;1430;1440;1450;1460;1470;1475;1480;1490;1500;1510;1520;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;272,6;268,4;264,1;255,5;247,1;238,8;230,5;226,3;222,3;214,1;206,1;198,1;190,3;186,4;182,5;174,8;167,3;159,8;152,5;148,9;145,3;138,3;131,4;124,5;117,9;114,6;111,4;105;98,8;92,7;86,8;83,9;81,1;75,5;70,2;65;60,1;57,7;55,3;50,8;46,5;42,5;38,6;36,8;35;31,6;28,4;25,5;22,7;21,4;20,2;17,9;15,7;13,8;12,1;11,3;10,6;9,2;7,9;6,8;5,9;5,5;5;4,3;3,65;3,1;2,65;2,45;2,25;1,95;1,65;1,15;0,75;0,6;0,5;0,4;;6,9;7,4;7,8;8,1;8,4;8,9;9,5;10,1;10,7;11;11,3;12;12,7;13,5;14,3;14,7;15,2;16,1;17;18;19,1;19,6;20,2;21,4;22,6;23,9;25,2;25,9;26,6;28;29,5;31,1;32,8;33,6;34,5;36,3;38,2;40,2;42,3;43,4;44,5;46,7;49,1;51,6;54,2;55,6;57;59,9;62,9;66;69,3;71;72,7;76,3;80;83,9;87,9;90;92,1;96,5;101,1;105,8;110,9;113,4;116;121,5;127,1;133;139,1;142,2;145,4;152;158,7;165,7;172,9;176,6;180,3;188;195,8;203,8;212,1;216,3;220,5;229,1;237,8;246,7;255,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6.23.2011;267;1266,2;0,0005;CALL;1020;1025;1030;1040;1050;1060;1070;1075;1080;1090;1100;1110;1120;1125;1130;1140;1150;1160;1170;1175;1180;1190;1200;1210;1220;1225;1230;1240;1250;1260;1270;1275;1280;1290;1300;1310;1320;1325;1330;1340;1350;1360;1370;1375;1380;1390;1400;1410;1420;1425;1430;1440;1450;1460;1470;1475;1480;1490;1500;1510;1520;1525;1530;1540;1550;1560;1570;1575;1580;1590;1600;1625;1650;1675;1700;1725;PUT;800;810;820;825;830;840;850;860;870;875;880;890;900;910;920;925;930;940;950;960;970;975;980;990;1000;1010;1020;1025;1030;1040;1050;1060;1070;1075;1080;1090;1100;1110;1120;1125;1130;1140;1150;1160;1170;1175;1180;1190;1200;1210;1220;1225;1230;1240;1250;1260;1270;1275;1280;1290;1300;1310;1320;1325;1330;1340;1350;1360;1370;1375;1380;1390;1400;1410;1420;1425;1430;1440;1450;1460;1470;1475;1480;1490;1500;1510;1520;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;270,6;266,3;262,1;253,7;245,2;237;228,6;224,6;220,5;212,3;204,4;196,4;188,6;184,7;181;173,3;165,9;158,4;151,1;147,5;144;136,9;130,1;123,3;116,7;113,4;110,3;103,9;97,8;91,9;86;83,2;80,4;74,9;69,6;64,5;59,6;57,3;55;50,5;46,2;42,2;38,4;36,5;34,7;31,4;28,3;25,4;22,7;21,4;20,1;17,8;15,6;13,6;11,9;11,2;10,4;9;7,8;6,8;5,8;5,4;5;4,3;3,65;3,15;2,7;2,5;2,3;1,95;1,65;1,1;0,7;0,55;0,45;0,35;;7,1;7,5;8;8,3;8,5;9,1;9,7;10,3;11;11,3;11,7;12,4;13,2;14;14,8;15,3;15,7;16,6;17,6;18,6;19,6;20,2;20,7;21,9;23,1;24,4;25,8;26,5;27,3;28,8;30,3;32;33,6;34,5;35,4;37,2;39,2;41,2;43,3;44,4;45,6;47,9;50,4;52,9;55,5;56,9;58,3;61,2;64,3;67,5;70,8;72,5;74,3;77,9;81,7;85,7;89,8;91,9;94,1;98,5;103,2;108;113,1;115,7;118,4;123,8;129,5;135,4;141,6;144,6;147,8;154,4;161,3;168,3;175,6;179,3;182,9;190,6;198,3;206,3;214,6;218,8;223;231,6;240,4;249,3;258,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6.24.2011;266;1253,1;0,0006;CALL;1000;1010;1020;1025;1030;1040;1050;1060;1070;1075;1080;1090;1100;1110;1120;1125;1130;1140;1150;1160;1170;1175;1180;1190;1200;1210;1220;1225;1230;1240;1250;1260;1270;1275;1280;1290;1300;1310;1320;1325;1330;1340;1350;1360;1370;1375;1380;1390;1400;1410;1420;1425;1430;1440;1450;1460;1470;1475;1480;1490;1500;1510;1520;1525;1530;1540;1550;1560;1570;1575;1580;1590;1600;1625;1650;1675;1700;1725;PUT;800;810;820;825;830;840;850;860;870;875;880;890;900;910;920;925;930;940;950;960;970;975;980;990;1000;1010;1020;1025;1030;1040;1050;1060;1070;1075;1080;1090;1100;1110;1120;1125;1130;1140;1150;1160;1170;1175;1180;1190;1200;1210;1220;1225;1230;1240;1250;1260;1270;1275;1280;1290;1300;1310;1320;1325;1330;1340;1350;1360;1370;1375;1380;1390;1400;1410;1420;1425;1430;1440;1450;1460;1470;1475;1480;1490;1500;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;277,4;268,9;260,3;256,2;252;243,6;235,3;227,1;219;215;211;203,1;195,3;187,5;179,9;176,1;172,3;165;157,7;150,4;143,4;139,8;136,3;129,5;122,9;116,3;109,9;106,7;103,7;97,5;91,6;85,8;80,2;77,5;74,8;69,5;64,5;59,6;55;52,8;50,6;46,4;42,4;38,6;35;33,2;31,6;28,5;25,6;22,9;20,4;19,3;18,2;16,1;14,2;12,4;10,8;10,1;9,4;8,1;6,9;6;5,2;4,8;4,45;3,85;3,25;2,8;2,4;2,25;2,05;1,75;1,5;1;0,65;0,5;0,35;0,25;;8;8,6;9,2;9,5;9,8;10,4;11;11,7;12,4;12,8;13,1;13,9;14,7;15,6;16,5;17;17,4;18,4;19,5;20,6;21,8;22,4;23,1;24,4;25,8;27,2;28,6;29,4;30,2;31,8;33,4;35,2;37;38;38,9;41;43,1;45,3;47,6;48,8;50;52,6;55,2;57,9;60,8;62,2;63,7;66,8;70,1;73,5;77;78,8;80,7;84,5;88,5;92,7;97;99,3;101,5;106,2;111,1;116,1;121,5;124,3;127;132,8;138,7;144,8;151,2;154,4;157,7;164,6;171,6;178,9;186,3;190,2;194,1;201,9;210;218,1;226,5;230,8;235,1;243,8;252,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
